Position,Track Name,Artist,Streams,URL
46,Before You Go,Lewis Capaldi,1460619,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
47,Bandido,Myke Towers,1459802,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
48,Paradise (feat. Dermot Kennedy),MEDUZA,1438340,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
49,Goosebumps,HVME,1398558,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
50,Laugh Now Cry Later (feat. Lil Durk),Drake,1377564,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
51,Savage Love (Laxed - Siren Beat),Jawsh 685,1361943,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
52,Mi Ni?Òa,Wisin,1357924,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
53,Una Locura,Ozuna,1333415,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
54,Life Goes On,BTS,1331189,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
55,Wonder,Shawn Mendes,1327036,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
56,Breaking Me,Topic,1308453,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
57,Put Your Records On,Ritt Momney,1302355,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
58,Take You Dancing,Jason Derulo,1293426,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
59,La Curiosidad,Jay Wheeler,1291975,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
60,Se Te Nota (with Guaynaa),Lele Pons,1278336,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
61,Circles,Post Malone,1271463,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
62,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1262281,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
63,The Box,Roddy Ricch,1250694,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
64,death bed (coffee for your head),Powfu,1247406,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
65,pov,Ariana Grande,1231232,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
66,GIRL LIKE ME,Black Eyed Peas,1225965,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
67,"Ay, DiOs M??o!",KAROL G,1219185,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
